indicators_harmonized,change in indic name,ga,sua,va,ias,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,usage,ipbes,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
"nutritional output (calories, nutrients)",,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,,Healthy living conditions,
farm size distribution,,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,,Infrastructure (build-up area),
nutrition derived from fish,,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,,Healthy living conditions,
fisheries revenues,,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Specific monetary valuation of nature contribution,
gross value added (gva),,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,,State of economy,
potential catch loss,,1,,,,,,,,,,,,,1,1,,1,,,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
production of fish meal and fish oil use in aquaculture/animal feeds,,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
number of jobs,,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,,Coverage of basic needs,
arable land remaining,,1,,,,,,,,,,,,,1,1,,1,,,,ecosystems,,State of ecosystems,
kcal capita,,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
dietary diversity,,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
hunger,,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
malnutrition,,1,,,,1,,,,,,,,,2,1,,1,,1,,Human assets,Human well-being,Coverage of basic needs,Healthy living conditions
timber harvest (m3/ha/year),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
grass/fodder (kg),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
bamboos and rattans market value,,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Specific monetary valuation of nature contribution,
market value,,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,,State of economy,
gums (kg),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
resins (kg),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
latexes (kg),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
oil (kg),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
waxes (kg),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
tannins (kg),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
dyes (kg),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
cork (kg),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
bark (kg),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
cotton (t/ha),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
flax (t/ha/year)),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
jute yields (t/ha/year),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
sisal yields (t/ha/year),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
hemp yields (t/ha/year),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
silk cocoons (t/hear),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
coral solid units (number/year),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,State of biodiversity,
pearls sold units (number/year),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Specific monetary valuation of nature contribution,
shell sold units (number/year),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
ornamental plants sold units (number/year or kg/year),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Specific monetary valuation of nature contribution,
pet fish sold units (number and species diversity/year),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Specific monetary valuation of nature contribution,
pet bird sold units (number and species diversity/year),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Specific monetary valuation of nature contribution,
pet reptile sold units (number and species diversity/year),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Specific monetary valuation of nature contribution,
pet amphibian sold units (number and species diversity/year),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Specific monetary valuation of nature contribution,
"other living organism for assistance number, stock density (number of horse/household)",,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Specific monetary valuation of nature contribution,
health benefits provide by companion animals,,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,Ecosystem services,Healthy living conditions,Nature contribution
"supply of fiber crops, resins, gum arabic",,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
trade of silk,,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,Ecosystem services,Income,Nature contribution
"production of industrial roundwood, paper pulps",,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
export and import of commodity data,,1,,,,,,,,,,,,,1,1,,1,,,,Knowledge systems,,,
export and import data,,1,,,,,,,,,,,,,1,1,,1,,,,Knowledge systems,,,
number of traded live animals/plants listed in cites databases,,1,,,,,,,,,,,,,1,1,,1,,,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
land suitability and extent of cotton producing area,,1,,,,,,,,,,,,,1,1,,1,,,,ecosystems,Ecosystem services,State of ecosystems,Nature contribution
volume of round wood production,,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
tonnage of cotton production,,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
number of people employed in forest industry,,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,,Coverage of basic needs,
"number of people employed in garment industry (include fibre, cotton industry)",,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,,Coverage of basic needs,
map of medicinal plants overlaying plant richness at the global level,,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
percentage of new drugs discovered over the last 30 years based on natural medicinal products,,1,,,,,,,,,,,,,1,1,,1,,,,Knowledge systems,,Information on biodiversity,
"biodiversity with high potential for having bioactive principles for medicines or represent genetic resources useful for medicines agriculture or other purposes, that have been identified locally through ilk or by other knowledge systems at global levels for health treatments or other purposes (agriculture or other)",,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,State of biodiversity,
medicinal plants known to date and accessible for health care as a proxy for all natural medicinal products (national medicines policies),,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
genetic resources and especially agrodiversity known to date and its linkage to food security,,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic resources,
more than 25% of new chemical entities developed for drugs for all diseases treated at the global level over the last 30 years are derived from natural products or chemical leads from national medicines policies and more than 70% of drugs to treat cancers derive directly from national medicines policies,,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,Ecosystem services,Healthy living conditions,Nature contribution
percentage of world population relying almost entirely on national medicines policies,,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,Ecosystem services,Healthy living conditions,Nature contribution
percentage of modern drugs based on national medicines policies or bio-inspired molecules used for diseases at the global level,,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
"percentages of wild plant collection harvested, traded",,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Specific mention of sustainable use of species/ecosystems,
new drugs production and sales,,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,,Coverage of basic needs,
maps showing areas where humans mostly rely national medicines policies for health,,1,,,,,,,,,,,,,1,1,,1,,,,Knowledge systems,,Information on society and socio-economics,
biodiversity intactness index (for plants and vertebrates),,1,,,,,,,,,,,,,1,1,,1,1,,,biodiversity,,State of biodiversity,
in situ genetic resources of interest to science and ex situ gene banks or genetic and or chemical related informations,,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic resources,
ability of learning through direct proximity of people with nature in biodiversity-rich landscapes or agroecosystems,,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,,Coverage of basic needs,
"elements (parts) of nature used in scientific experiments, from species to genes and their continued natural functional and evolutionary roles",,1,,,,,,,,,,,,,1,1,,1,,,,Knowledge systems,,Information on biodiversity,
"care, mental health, cultural security, life-satisfaction",,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,Human well-being,Healthy living conditions,Wellness
diversity and economic value of bioinspired production,,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
areas including all uoa where people mainly rely on nature for their well being,,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,Ecosystem services,Recreation,Nature contribution
recognition of ilpcs lifestyles in close interaction with nature and their access to their lands and resources,,1,,,,,,,,,,,,,1,1,,1,,,,Knowledge systems,,ILK,
human mobility to access different natural habitats for outdoor recreation,,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,,Recreation,
indirect access to natural products from natural habitats,,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,,Nature contribution,
creation of new rural urban network,,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,,Infrastructure (build-up area),
visitation rates of parks,,1,,,,,,,,,,,,,1,1,,1,,,,Ecosystem services,Human well-being,Nature contribution,
people in proximity to parks or natural areas,,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,,Healthy living conditions,Recreation
indigenous lands,,1,,,,,,,,,,,,,1,1,,1,,,,Knowledge systems,ecosystems,ILK,State of ecosystems
green space in cities,,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,,Healthy living conditions,
area of natural and traditional landscapes and seascapes,,1,,,,,,,,,,,,,1,1,,1,1,,,ecosystems,,State of ecosystems,
"number of protected areas, parks and gardens",,1,,,,,,,,,,,,,1,1,,1,,,,ecosystems,,Area conservation,
"visitation rate to natural terrestrial, coastal and marine areas",,1,,,,,,,,,,,,,1,1,,1,,,,Governance,Knowledge systems,Broken governance,Information on society and socio-economics
"increased awareness, care, mental health, cultural security, life-satisfaction",,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,,Healthy living conditions,Wellness
,,1,,,,,,,,,,,,,1,1,,1,,,,,,,
abundance of slowly changing ecosystems (time past last land use change),,1,,,,,,,,,,,,,1,1,,1,,,,ecosystems,,Change in ecosystems,
identity value,,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,,Equity,
happyness,,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,,Wellness,
quantitative genetic variation,,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic resources,
phenotypic variation,,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic diversity,
neutral variation (markers not linked to traits under selection),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,State of biodiversity,Genetic diversity
non-neutral variation (markers linked to traits under selection),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic diversity,
phylogenetic variation (of genes or populations within species),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic diversity,
demographic variation,,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,,Cultural diversity,
"functional diversity (fd), rarity, redundancy, vulnerability",,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,State of biodiversity,
community-weighted mean trait value (cwm),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,State of biodiversity,
phylogenetic diversity (pd),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic diversity,
overdisperion/ underdispersion,,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,Direct drivers,Change in biodiversity,Invasive alien species
taxonomic diversity and distinctness,,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,State of biodiversity,
"phylogenetic species richness (psr), clustering (psc), evenness (pse), variability (psv)",,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic diversity,
number of species,,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,State of biodiversity,
equitability (commonness and rareness),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic diversity,
species abundance distribution,,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,State of biodiversity,
endemism (% endemics in community),,1,,,,,,,,,,,,,1,1,,1,,,,Knowledge systems,,Information on biodiversity,
emergence (shannon’s information),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic diversity,
genetic variation (self-organization),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic resources,
genetic variation (complexity),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic resources,
genetic variation (homeostasis),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic resources,
genetic variation (hamming distance),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic resources,
genetic variation (dissimilarity),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic resources,
genetic variation (cohesion),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic resources,
"genetic variation (connectance, numbers of links by the number of nodes)",,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic resources,
betadiversity (species turnover),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Change in biodiversity,
gamma diversity (total diversity of species in a landscape),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,State of biodiversity,
genetic variation (nestedness),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic resources,
phylogenetic betadiversity,,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic diversity,
phylogenetic structure of a community,,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Genetic diversity,
trait convergence assembly pattern (tcap),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,State of biodiversity,
trait divergence assembly pattern (tdap),,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,State of biodiversity,
functional betadiversity,,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,State of biodiversity,
loss of species,,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Change in biodiversity,
biodiversity barometer (% of respondents that have heard of biodiversity),,1,,,,,,,,,,,,,1,1,,1,1,,,Knowledge systems,,Information on biodiversity,
biodiversity barometer (% of respondents giving correct definition of biodiversity),,1,,,,,,,,,,,,,1,1,,1,1,,,Knowledge systems,,Information on biodiversity,
funding towards environmental education,,1,,,,,,,,,,,,,1,1,,1,,,,Governance,,Nature-based funding,
online interest in biodiversity (proportion of google searches),,1,,,,,,,,,,,,,1,1,,1,1,,,Knowledge systems,,Information on biodiversity,
funding towards environmental impact assessment,,1,,,,,,,,,,,,,1,1,,1,,,,Governance,,Nature-based funding,
number of research studies involving economic valuation,,1,,,,,,,,,,,,,1,1,,1,1,,,Knowledge systems,,Information on society and socio-economics,
world trade organisation greenbox agricultural subsidies,,1,,,,1,1,,,,,,,,3,1,,1,1,,,Governance,,Nature-based funding,
funding towards institutional capacity building in fisheries,,1,,,,,,,,,,,,,1,1,,1,1,,,Governance,,Nature-based funding,
percentage of countries that are category 1 cites parties,,1,,,,,,,,,,,,,1,1,,1,1,,,Governance,,Nature-based legislation,
human appropriation of fresh water (water footprint) (thousand km3),,1,,,,,,,,,,,,,1,1,,1,,,,Human assets,,Coverage of basic needs,
marine stewardship council certified fisheries,,1,,,,,,,,,,,,,1,1,,1,1,,,Ecosystem services,,Specific mention of sustainable use of species/ecosystems,
red list index (impacts of fisheries),,1,,,,,,,,,,,,,1,1,,1,1,,,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
global effort in bottom-trawling,,1,,,,,,,,,,,,,1,1,,1,1,,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
nitrogen use balance,,1,,,,,,,,,,,,,1,1,,1,1,,,Direct drivers,,Pollution,
wild bird index (farmland birds),,1,,,,,,,,,,,,,1,1,,1,1,,,biodiversity,,State of biodiversity,
area of agricultural land under conservation agriculture,area of agricultural land under conservation,1,,,,,,,,,,,,,1,1,,1,1,,,ecosystems,Direct drivers,Area conservation,Land conversion
area of agricultural land under conservation agriculture,,1,,,,,,,,,,,,,1,1,,1,1,,,,,,
nitrogen surplus (tg n),,1,,,,,,,,,,,,,1,1,,1,,,,Direct drivers,,Pollution,
percentage of countries with invasive alien species legislation,,1,,,,,,,,,,,,,1,1,,1,1,,,Governance,,Nature-based legislation,
glacial mass balance,,1,,,,,,,,,,,,,1,1,,1,1,,,ecosystems,,Change in ecosystems,
mean polar sea ice extent,,1,,,,,,,,,,,,,1,1,,1,1,,,ecosystems,,State of ecosystems,
climatic impact index for birds,,1,,,,,,,,,,,,,1,1,,1,1,,,Direct drivers,biodiversity,Climate change,Change in biodiversity
percentage of marine and coastal areas covered by protected areas,,1,,,,,,,,,,,,,1,1,,1,1,,,ecosystems,,Area conservation,
percentage of terrestrial ecoregions covered by protected areas,,1,,,,,,,,,,,,,1,1,,1,1,,,ecosystems,,Area conservation,
percentage of marine ecoregions covered by protected areas,,1,,,,,,,,,,,,,1,1,,1,,,,ecosystems,,Area conservation,
"protected area coverage of bird, mammal and amphibian distributions",,1,,,,,,,,,,,,,1,1,,1,,,,ecosystems,biodiversity,Area conservation,State of biodiversity
number of protected area management effectiveness (pame) assessments,,1,,1,,,,,,,,,,,2,1,,1,1,,,ecosystems,,Area conservation,
funding towards nature reserves,,1,,,,,,,,,,,,,1,1,,1,,,,Governance,,Nature-based funding,
funding towards species protection,,1,,,,,,,,,,,,,1,1,,1,,,,Governance,,Nature-based funding,
percentage of terrestrial domesticated animal breeds at risk,,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Species conservation,
percentage change in local species richness,,1,,,,,,,,,,,,,1,1,,1,,,,biodiversity,,Change in biodiversity,
percentage of global rural population with access to improved water resources,,1,,,,,,,,,,,,,1,1,,1,,,,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
percentage of countries that have ratified the nagoya protocol,,1,,,,,,,,,,,,,1,1,,1,,,,Governance,,Nature-based legislation,
percentage of countries with revised nbsaps,,1,,,,,,,,,,,,,1,1,,1,,,,Governance,,Nature-based legislation,
number of biodiversity papers published,,1,,,,,,,,,,,,,1,1,,1,,,,Knowledge systems,,Information on biodiversity,
funding committed to environmental research,,1,,,,,,,,,,,,,1,1,,1,,,,Governance,,Nature-based funding,
funding provided by the global environment facility,,1,,,,,,,,,,,,,1,1,,1,,,,Governance,,Nature-based funding,
official development assistance provided in support of the cbd objectives,,1,,,,,,,,,,,,,1,1,,1,1,,,Governance,,Legislation/governance,
"global funding committed towards environmental policy, laws, regulations and economic instruments",,1,,,,,,,,,,,,,1,1,,1,,,,Governance,,Legislation/governance,
number of people who died or disappeared in the process of migration towards an international destinationi,,,1,,,,,,,,,,,,1,1,,1,,,,Governance,,Broken governance,
"direct economic loss in relation to global gross domestic product, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters",,,1,,,,,,,,,,,,1,1,,1,,,,Human assets,,State of economy,
degree of sustainable public procurement policies and action plan implementation,,,1,,,,,,,,,,,,1,1,,1,,,,Governance,,Nature-based legislation,
human development index (hdi),,1,1,1,1,,,,,,,,,,4,1,,,1,,,Knowledge systems,Human well-being,Information on society and socio-economics,Wellness
inclusive wealth,,1,1,1,,,,,,,,,,,3,1,,,1,,,Human assets,,Income,
gross national happiness index,,1,1,1,1,,,,,,,,,,4,1,,,1,,,Human well-being,,Wellness,
water footprint,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
trends in forest extent,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,Change in ecosystems,
total wood removals,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
estimated fisheries catch and fishing effort,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
inland fishery production,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
proportion of area of forest production under fsc and pefc certification,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,Governance,Nature contribution,Nature-based legislation
nitrogen use efficiency,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Pollution,
nitrogen + phosphate fertilizers (n+p205 total nutrients),,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Pollution,
trends in pesticide use,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Pollution,
protected area coverage,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,Area conservation,
percentage of undernourished people,,1,,,,,,,,,,,,,1,1,,,1,,,Knowledge systems,Human well-being,Information on society and socio-economics,Healthy living conditions
number of countries with developed or revised nbsaps,,1,,,,,,,,,,,,,1,1,,,1,,,Governance,,Nature-based legislation,
"number of countries with national instruments on biodiversity relevant taxes, charges and fees",,1,,,,,,,,,,,,,1,1,,,1,,,Governance,,Nature-based legislation,
number of countries with national instruments on redd plus schemes,,1,,,,,,,,,,,,,1,1,,,1,,,Governance,,Nature-based legislation,
trends in potentially harmful elements of government support to agriculture (produced support estimates),,1,,,,,,,,,,,,,1,1,,,1,,,Governance,,Nature detrimental legislation,
trends in potentially harmful elements of government support to fisheries,,1,,,,,,,,,,,,,1,1,,,1,,,Governance,,Nature detrimental legislation,
number of countries with national instruments on biodiversity relevant tradable permit schemes,,1,,,,,,,,,,,,,1,1,,,1,,,Governance,,Nature-based legislation,
trend in carbon intensity,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Pollution,
global climate risk index,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Climate change,
number and coverage of stocks with adaptive management systems/plans,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
presence of regulations requiring recovery of depleted species,,1,,,,,,,,,,,,,1,1,,,1,,,Governance,biodiversity,Nature-based legislation,Species conservation
policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,,1,,,,,,,,,,,,,1,1,,,1,,,Governance,,Nature-based legislation,
policies make adequate provisions to minimize impacts of fisheries on threatened species,,1,,,,,,,,,,,,,1,1,,,1,,,Governance,,Nature-based legislation,
coverage of fisheries with management measures to reduce bycatch and discards,,1,,,,,,,,,,,,,1,1,,,1,,,Governance,Ecosystem services,Nature-based legislation,Specific mention of sustainable use of species/ecosystems
mean length of fish,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
biotime-local species richness,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
temporal species turnover,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,Change in biodiversity,
overall species abundance,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
non declining exploited species,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,Direct drivers,Nature contribution,Specific mention of over-exploitation and unsustainable use of species/ecosystems
number of world natural heritage sites per country per year,,1,,,,,,,,,,,,,1,1,,,1,,,Governance,Knowledge systems,Nature-based legislation,Information on society and socio-economics
trends in the numbers of invasive alien species introduction events,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Invasive alien species,
trends in invasive alien species vertebrate eradications,,1,,,,,,,,,,,,,1,1,,,1,,,Governance,Direct drivers,Nature-based legislation,Invasive alien species
"protected area coverage of terrestrial, marine and freshwater ecoregions",,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,Area conservation,
protected area representativeness index,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,Governance,Area conservation,Nature-based legislation
wildlife picture index,,1,,,,,,,,,,,,,1,1,,,1,,,Knowledge systems,,Information on biodiversity,
number of species extinctions,,1,,,1,,,,,,,,,,2,1,,,1,1,,biodiversity,,Change in biodiversity,
better life index,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,Human well-being,Healthy living conditions,Wellness
percentage of population using safely managed drinking water services,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Healthy living conditions,
land under cereal production (ha),,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
global linguistic diversity index and language threat level,,1,,,,,,,,,,,,,1,1,,,1,,,Knowledge systems,,Specific information on ILK and IPLC,
species represented in the barcode of life data system,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,Genetic resources,
"information provided through the financial reporting framework, adopted by decision xii/3",,1,,,,,,,,,,,,,1,1,,,1,,,Governance,,Legislation/governance,
child mortality,,1,,,,1,,,,,,,,,2,1,,,,1,,Human well-being,,Healthy living conditions,
caloric intake,,1,,,,,,,,,,,,,1,1,,,,1,,Human well-being,,Healthy living conditions,
per capita consumption,,1,,,,,,,,,,,,,1,1,,,,1,,Human well-being,,Healthy living conditions,
value of merchandise being exported,,1,,,,,,,,,,,,,1,1,,,,1,,Human assets,,Income,
mortality rate under 5,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Healthy living conditions,
calorie intake,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Healthy living conditions,
merchandise exports,,1,,,,,,,,,,,,,1,1,,,1,,,Human assets,,Income,
total population,,1,,,,,,,,,,,,,1,1,,,1,,,Knowledge systems,,Information on society and socio-economics,
proportion of urban population,,1,,,,,,,,,,,,,1,1,,,1,,,Knowledge systems,,Information on society and socio-economics,
international migrant stock,,1,,,,,,,,,,,,,1,1,,,1,,,Knowledge systems,,Information on society and socio-economics,
absence of conflict as indicator of political stability,,1,,,,,,,,,,,,,1,1,,,1,,,Knowledge systems,,Information on society and socio-economics,
protection of key biodiversity areas,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,Area conservation,
income,,1,1,,,,,,,,,,,,2,1,,,1,1,,Human assets,,Income,
life expectancy at birth,,1,,,,,,,,,,,,,1,1,,,,1,,Knowledge systems,Human well-being,Information on society and socio-economics,Healthy living conditions
average number of years of schooling,,1,,,,,,,,,,,,,1,1,,,,1,,Human assets,,Coverage of basic needs,
cultural identity,,1,,,,,,,,,,,,,1,1,,,,1,,Human well-being,Human well-being,Wellness,Cultural diversity
retention over time of indigenous ecological knowledge and practices,,1,,,,,,,,,,,,,1,1,,,,1,,Knowledge systems,,Specific information on ILK and IPLC,
world happiness index,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Wellness,
social progress index,,1,,,,,,,,,,,,,1,1,,,1,,,Knowledge systems,Human well-being,Information on society and socio-economics,Wellness
environmental performance index,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems (coverage),
environmental component of the social sustainability index,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems (coverage),
land use change,,1,,,,1,,,,,,,,,2,1,,,1,1,,Direct drivers,,Land conversion,
extraction of living biomass,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
extraction of non-living materials,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
greenhouse gas emissions,,1,,,,1,,,,,,,,,2,1,,,1,,,Direct drivers,Direct drivers,Climate change,Pollution
alien species richness,,1,,,1,,,,,,,,,,2,1,,,1,1,,biodiversity,biodiversity,Invasive alien species,State of biodiversity
water quality index (watqi),,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,Human well-being,Abiotic conditions,Healthy living conditions
total land footprint,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
